,d_game_date,c_prop_cd,c_game_report_desc,c_game_report_type,c_table_num,Drop,f_hands_played,i_minutes_played,f_theo_win,f_actual_win,i_open_hours,actul win over minutes played
0,2020-11-14,ABC,Face Up Pai Gow,Pai Gow,207,2080,1311,972,395.2,7680,18,7.901234567901234
1,2020-11-11,ABC,Free Bet BJ 6 to 5,Blackjack,652,5016,312,1200,1103.52,3642,10,3.035
2,2020-10-09,ABC,Free Bet BJ 6 to 5,Blackjack,803,3216,987,1700,707.52,8586,17,5.050588235294118
3,2020-11-08,ABC,Free Bet BJ 6 to 5,Blackjack,7,3451,1098,1748,759.22,-10458,19,-5.982837528604119
4,2020-11-16,ABC,Free Bet BJ 6 to 5,Blackjack,652,3184,122,792,700.48,-1144,11,-1.4444444444444444
5,2020-10-09,ABC,Nepal Baccarat,Baccarat,203,6049,1239,2640,1270.29,6842,20,2.591666666666667
6,2020-10-18,ABC,Free Bet BJ 6 to 5,Blackjack,7,2934,1260,5720,645.48,-1173,22,-0.20506993006993007
7,2020-10-30,ABC,Nepal Baccarat,Baccarat,204,3630,896,3772,762.3,-16480,23,-4.369034994697773
8,2020-10-17,ABC,Free Bet BJ 6 to 5,Blackjack,7,3216,960,2160,707.52,-4026,18,-1.863888888888889
9,2020-11-14,ABC,Face Up Pai Gow,Pai Gow,206,3192,736,1900,606.48,-14841,19,-7.8110526315789475
10,2020-10-07,ABC,Free Bet BJ 6 to 5,Blackjack,652,1477,784,3960,324.94,9632,18,2.4323232323232324
11,2020-11-01,ABC,Nepal Baccarat,Baccarat,204,4008,1136,2530,841.68,1360,22,0.5375494071146245
12,2020-10-30,ABC,TZ Roulette,Roulette,4,3108,1180,1144,683.76,10968,22,9.587412587412587
13,2020-10-28,ABC,Face Up Pai Gow,Pai Gow,208,2312,992,3960,439.28000000000003,-10948,24,-2.764646464646465
14,2020-11-11,ABC,Face Up Pai Gow,Pai Gow,208,3288,636,1122,624.72,15847,17,14.123885918003564
15,2020-10-04,ABC,Nepal Baccarat,Baccarat,204,4738,901,4165,994.98,15816,17,3.797358943577431
16,2020-10-02,ABC,TZ Roulette,Roulette,4,3723,1292,1500,819.0600000000001,-6239,20,-4.1593333333333335
17,2020-10-13,ABC,Free Bet BJ 6 to 5,Blackjack,652,5166,58,1272,1136.52,1302,12,1.0235849056603774
18,2020-11-20,ABC,Nepal Baccarat,Baccarat,203,3450,1430,1472,724.5,-2299,16,-1.561820652173913
19,2020-10-26,ABC,Face Up Pai Gow,Pai Gow,207,1090,506,1221,207.1,5740,11,4.701064701064701
20,2020-10-04,ABC,Nepal Baccarat,Baccarat,203,4928,1088,2310,1034.8799999999999,4528,21,1.9601731601731602
21,2020-11-14,ABC,Face Up Pai Gow,Pai Gow,208,3400,1387,3588,646.0,14256,23,3.9732441471571907
22,2020-11-18,ABC,Nepal Baccarat,Baccarat,203,2592,1430,3888,544.3199999999999,-16321,24,-4.197788065843621
23,2020-11-19,ABC,Nepal Baccarat,Baccarat,203,6174,1144,1134,1296.54,574,21,0.5061728395061729
24,2020-10-30,ABC,TZ Roulette,Roulette,801,3120,893,3120,686.4,-9760,20,-3.128205128205128
25,2020-11-07,ABC,Face Up Pai Gow,Pai Gow,208,2862,1216,594,543.78,-3990,18,-6.717171717171717
26,2020-10-09,ABC,Free Bet BJ 6 to 5,Blackjack,804,3686,1045,1218,810.92,6072,21,4.985221674876847
27,2020-11-16,ABC,Face Up Pai Gow,Pai Gow,208,2023,220,576,384.37,20447,3,35.498263888888886
28,2020-10-10,ABC,Free Bet BJ 6 to 5,Blackjack,803,5192,1430,1260,1142.24,9010,20,7.150793650793651
29,2020-10-06,ABC,Nepal Baccarat,Baccarat,203,4016,396,336,843.36,-10140,12,-30.178571428571427
30,2020-11-13,ABC,Free Bet BJ 6 to 5,Blackjack,803,5727,1536,2125,1259.94,-13634,17,-6.416
