,Time_Period,c_prop_cd,c_zone_id,c_serial_num,dof,coin_in,mtr_win,theo,hp,max_hp,days_in_time_period,slot_logistics,mtr_win over dof,coin_in over dof,mtr_win over hp,coin_in over hp
1061,Post,SAC,2,5135336,27,60896.4799999999,13496.3599999999,8963.961856,37779,357695.999999999,30,moving,499.8651851851815,2255.4251851851814,0.3572450303078403,1.6119134969162736
1074,Post,SAC,2,B160874788,27,98073.3,18467.5,14161.78452,75708,272160.0,30,moving,683.9814814814815,3632.3444444444444,0.2439306282030961,1.2954152797590743
1116,Post,SAC,2,MRXU005524,27,104381.2,14644.39,14822.1303999999,61691,326592.0,30,moving,542.3848148148148,3865.9703703703703,0.23738292457570795,1.6920004538749573
1121,Post,SAC,2,2384809,27,93405.0,15086.75,11741.0085,67300,349920.0,30,moving,558.7685185185185,3459.4444444444443,0.22417161961367013,1.387890044576523
1155,Post,SAC,2,B170506134,27,92128.8099999999,14100.94,11792.48768,72008,295488.0,30,moving,522.2570370370371,3412.1781481481444,0.19582463059660038,1.279424647261414
1164,Post,SAC,2,B170506132,27,133702.439999999,22730.5,21084.8747879999,95003,373248.0,30,moving,841.8703703703703,4951.942222222186,0.23926086544635433,1.407349662642222
1186,Post,SAC,2,5135337,27,76582.0599999999,10099.22,11272.879232,41900,357695.999999999,30,moving,374.0451851851852,2836.3725925925887,0.24103150357995226,1.8277341288782791
1212,Post,SAC,2,5141615,27,48488.76,12741.3699999999,7224.82523999999,28302,295488.0,30,moving,471.9025925925889,1795.88,0.4501932725602396,1.7132626669493323
1229,Post,SAC,2,5135151,27,59290.1999999999,9687.45,7701.79698,44365,326592.0,30,moving,358.7944444444445,2195.9333333333298,0.21835793981742366,1.3364183477966844
1285,Post,SAC,2,B160874786,27,102299.7,14045.17,13994.59896,87951,279936.0,30,moving,520.1914814814814,3788.8777777777777,0.15969312458073245,1.1631442507760001
1321,Post,SAC,2,MRXU005523,27,127254.16,21234.48,18070.0907199999,73857,326592.0,30,moving,786.4622222222222,4713.117037037037,0.28750802225923067,1.7229803539271837
1338,Post,SAC,2,2492692,27,100557.6,17203.59,15063.5284799999,80359,427680.0,30,moving,637.17,3724.355555555556,0.21408417227690738,1.2513545464727038
1359,Post,SAC,2,2384807,27,57393.0,6506.9,7214.3001,44120,349920.0,30,moving,240.9962962962963,2125.6666666666665,0.1474818676337262,1.300838621940163
1393,Post,SAC,2,2384810,27,84457.2,14353.4,10616.27004,61947,349920.0,30,moving,531.6074074074074,3128.0444444444443,0.23170452160718033,1.3633783718339871
1455,Post,SAC,2,5135338,27,82272.01,15358.31,12110.439872,46821,357695.999999999,30,moving,568.8262962962963,3047.1114814814814,0.32802182781230643,1.7571604621857713
1468,Post,SAC,2,B160874785,27,75093.5999999999,12193.54,10272.8044799999,68301,279936.0,30,moving,451.61259259259265,2781.244444444441,0.17852652230567637,1.0994509597224038
1532,Post,SAC,2,B170506131,27,117912.379999999,18537.05,18594.782326,91021,373248.0,30,moving,686.5574074074074,4367.125185185148,0.20365684841959547,1.295441491523923
1544,Post,SAC,2,5135339,27,52175.19,10500.27,7680.18796799999,33419,357695.999999999,30,moving,388.8988888888889,1932.4144444444446,0.31420060444657233,1.5612433047069034
1545,Post,SAC,2,MRXU005526,27,73958.72,11200.2,10465.1588799999,44154,330480.0,30,moving,414.82222222222225,2739.211851851852,0.25366218236173393,1.6750174389636274
1582,Post,SAC,2,5141617,27,80708.64,12288.9699999999,12025.58736,50178,295488.0,30,moving,455.14703703703333,2989.208888888889,0.24490752919606001,1.6084467296424727
1585,Post,SAC,2,MRXU005528,27,117206.319999999,17692.93,16584.69428,67349,330480.0,30,moving,655.2937037037037,4340.974814814778,0.26270516266017313,1.7402830034595762
